,Name,Vmag,Sp. Type,EPIC ID
0,Porrima,2.74,F1V+F0mF2V,200084004
1,Zaniah,3.9,A2IV,200084005
2,21 Vir,5.48,B9V,200084006
3,FW Vir,5.71,M3+IIICa0.5,200084007
4,HR 4837,5.918,G8III,200084008
5,HR 4591,6.316,K1III,200084009
6,HR 4613,6.364,G8/K0III,200084010
7,HD 107794,6.46,K0III,200084011
10,45 Oph,4.269,F5III-IV,200128908
16,HR 6366,5.911,Fm,200128913
44,Aldebaran,0.86,K5III,200173843
45,tet2 Tau,3.41,A7III,200173845
46,tet1 Tau,3.84,G9IIIFe-0.5,200173846
48,del3 Tau,4.25,A2IV-Vs,200173849
50,ups Tau,4.282,A8Vn,200173848
51,rho Tau,4.65,A8V,200173851
52,11 Ori,4.661,A1VpSiCr,200173853
53,HR 1427,4.764,A6IV,200173855
54,15 Ori,4.82,F2IV,200173854
55,75 Tau,4.969,K1IIIb,200173852
56,97 Tau,5.085,A7IV-V,200173857
57,HR 1684,5.163,K5III,200173856
59,56 Tau,5.346,A0VpSi,200173861
60,81 Tau,5.454,Am,200173860
61,53 Tau,5.482,B9Vsp,200173864
62,HR 1585,5.49,K1III,200173858
63,80 Tau,5.552,F0V+G2V,200173866
64,51 Tau,5.631,F0V,200173865
65,HR 1403,5.711,Am,200173867
66,89 Tau,5.776,F0V,200173868
67,HR 1576,5.776,B9V,200173871
68,98 Tau,5.785,A0V,200173870
69,99 Tau,5.806,G8III:,200173862
70,105 Tau,5.92,B2Ve,200173869
71,HR 1554,5.961,F2IV,200173874
72,HR 1385,5.965,F4V,200173875
73,HR 1741,6.107,K0III,200173873
74,HR 1633,6.188,K0,200173872
75,HR 1755,6.205,K0III,200173876
76,kap Psc,4.94,A2VpSrCrSi,200164167
77,83 Aqr,5.47,F0V,200164168
78,24 Psc,5.94,K0II/III,200164169
79,HR 8759,5.933,G5II/III,200164170
80,14 Psc,5.87,A2II,200164171
81,HR 8921,6.191,K4/5III,200164172
82,81 Aqr,6.215,K4III,200164173
83,HR 8897,6.34,K4III,200164174
84,eps Psc,4.28,G9IIIbFe-2,200068392
85,Revati,5.187,A7IV,200068393
86,80 Psc,5.5,F2V,200068394
87,42 Cet,5.87,G8III-IV+A7IV,200068399
88,33 Cet,5.942,K4/5III,200068395
89,60 Psc,5.961,G8III,200068396
90,73 Psc,6.007,K5III,200068397
91,WW Psc,6.14,M2.5III,200068398
92,HR 243,6.368,G8/K0II/III,200068400
93,HR 161,6.407,K3III,200068401
94,Asellus Australis,3.94,K0+IIIb,200200356
95,Acubens ,4.249,kA7VmF0/2III/IVSr,200200357
96,ksi Cnc,5.149,G8.5IIIFe-0.5CH-1,200200358
97,omi1 Cnc,5.22,A5III,200200360
98,eta Cnc,5.325,K3III,200200359
99,45 Cnc,5.65,A3III:+G7III,200200728
100,omi2 Cnc,5.677,F0IV,200200361
101,50 Cnc,5.885,A1Vp,200200363
102,82 Vir,5.01,M1+III,200213053
103,76 Vir,5.21,G8III,200213054
104,68 Vir,5.25,K5III,200213055
105,80 Vir,5.706,K0III,200213056
106,HR 5106,5.932,A0V,200213057
107,HR 5059,5.965,A8V,200213058
121,rho Leo,3.87,B1Iab,200182931
122,58 Leo,4.838,K0.5IIIFe-0.5,200182925
123,48 Leo,5.07,G8.5IIIFe-1,200182926
124,53 Leo,5.312,A2V,200182928
125,65 Leo,5.52,K0III,200182927
126,35 Sex,5.79,K2II-III+K1II-III,200182929
127,43 Leo,6.08,K3III,200182930
128,gam Cnc,4.652,A1IV,200233186
129,zet Cnc,4.67,F8V+G0V,200233643
130,60 Cnc,5.44,K5III,200233188
131,49 Cnc,5.66,A1VpHgMnSiEu,200233189
132,HR 3264,5.798,K1III,200233190
133,29 Cnc,5.948,A5V,200233192
134,HR 3222,6.047,G8III,200233193
135,21 Cnc,6.08,M2III,200233196
136,25 Cnc,6.1,F5IIIm?,200233644
137,HR 3558,6.146,K1III,200233195
138,HR 3541,6.4,"C6,4",200233194
139,Alcyone,2.986,B7III,200007767
140,Atlas,3.763,B8III,200007768
141,Electra,3.851,B6IIIe,200007769
142,Merope,4.305,,200007770
143,Maia,4.305,,200007771
144,Taygeta,4.448,,200007772
145,Pleione,5.192,,200007773
146,gam Tau,3.474,,200007765
147,del1 Tau,3.585,G9.5IIICN0.5,200007766
148,Spica,0.97,B1V,212573842
149,69 Vir,4.75,K0III-IIIbCN1.5CH0.5,212356048
150,Ascella,2.585,A2.5Va,200062593
